"","milepoint","lat","long","time_numeric","grid_loc","loc_ind","Date","counts"
"1",0.25,40.71327,-111.8148,15.22222,"[0,0.5)","[0,0.5)",2015-01-16 05:19:59,0
"2",0.25,40.71327,-111.8148,45.66667,"[0,0.5)","[0,0.5)",2015-02-15 16:00:00,0
"3",0.25,40.71327,-111.8148,76.11111,"[0,0.5)","[0,0.5)",2015-03-18 02:39:59,0
"4",0.25,40.71327,-111.8148,106.55556,"[0,0.5)","[0,0.5)",2015-04-17 13:20:00,1
"5",0.25,40.71327,-111.8148,137,"[0,0.5)","[0,0.5)",2015-05-18 00:00:00,0
"6",0.25,40.71327,-111.8148,167.44444,"[0,0.5)","[0,0.5)",2015-06-17 10:39:59,0
"7",0.25,40.71327,-111.8148,197.88889,"[0,0.5)","[0,0.5)",2015-07-17 21:20:00,0
"8",0.25,40.71327,-111.8148,228.33333,"[0,0.5)","[0,0.5)",2015-08-17 07:59:59,2
"9",0.25,40.71327,-111.8148,258.77778,"[0,0.5)","[0,0.5)",2015-09-16 18:40:00,0
"10",0.25,40.71327,-111.8148,289.22222,"[0,0.5)","[0,0.5)",2015-10-17 05:19:59,0
"11",0.25,40.71327,-111.8148,319.66667,"[0,0.5)","[0,0.5)",2015-11-16 16:00:00,0
"12",0.25,40.71327,-111.8148,350.11111,"[0,0.5)","[0,0.5)",2015-12-17 02:39:59,3
"13",0.25,40.71327,-111.8148,380.55556,"[0,0.5)","[0,0.5)",2016-01-16 13:20:00,1
"14",0.25,40.71327,-111.8148,411,"[0,0.5)","[0,0.5)",2016-02-16 00:00:00,0
"15",0.25,40.71327,-111.8148,441.44444,"[0,0.5)","[0,0.5)",2016-03-17 10:39:59,0
"16",0.25,40.71327,-111.8148,471.88889,"[0,0.5)","[0,0.5)",2016-04-16 21:20:00,0
"17",0.25,40.71327,-111.8148,502.33333,"[0,0.5)","[0,0.5)",2016-05-17 07:59:59,0
"18",0.25,40.71327,-111.8148,532.77778,"[0,0.5)","[0,0.5)",2016-06-16 18:40:00,0
"19",0.25,40.71327,-111.8148,563.22222,"[0,0.5)","[0,0.5)",2016-07-17 05:19:59,0
"20",0.25,40.71327,-111.8148,593.66667,"[0,0.5)","[0,0.5)",2016-08-16 16:00:00,0
"21",0.25,40.71327,-111.8148,624.11111,"[0,0.5)","[0,0.5)",2016-09-16 02:39:59,0
"22",0.25,40.71327,-111.8148,654.55556,"[0,0.5)","[0,0.5)",2016-10-16 13:20:00,0
"23",0.25,40.71327,-111.8148,685,"[0,0.5)","[0,0.5)",2016-11-16 00:00:00,1
"24",0.25,40.71327,-111.8148,715.44444,"[0,0.5)","[0,0.5)",2016-12-16 10:39:59,0
"25",0.25,40.71327,-111.8148,745.88889,"[0,0.5)","[0,0.5)",2017-01-15 21:20:00,2
"26",0.25,40.71327,-111.8148,776.33333,"[0,0.5)","[0,0.5)",2017-02-15 07:59:59,4
"27",0.25,40.71327,-111.8148,806.77778,"[0,0.5)","[0,0.5)",2017-03-17 18:40:00,2
"28",0.25,40.71327,-111.8148,837.22222,"[0,0.5)","[0,0.5)",2017-04-17 05:19:59,0
"29",0.25,40.71327,-111.8148,867.66667,"[0,0.5)","[0,0.5)",2017-05-17 16:00:00,0
"30",0.25,40.71327,-111.8148,898.11111,"[0,0.5)","[0,0.5)",2017-06-17 02:39:59,0
"31",0.25,40.71327,-111.8148,928.55556,"[0,0.5)","[0,0.5)",2017-07-17 13:20:00,1
"32",0.25,40.71327,-111.8148,959,"[0,0.5)","[0,0.5)",2017-08-17 00:00:00,0
"33",0.25,40.71327,-111.8148,989.44444,"[0,0.5)","[0,0.5)",2017-09-16 10:39:59,2
"34",0.25,40.71327,-111.8148,1019.88889,"[0,0.5)","[0,0.5)",2017-10-16 21:20:00,0
"35",0.25,40.71327,-111.8148,1050.33333,"[0,0.5)","[0,0.5)",2017-11-16 07:59:59,2
"36",0.25,40.71327,-111.8148,1080.77778,"[0,0.5)","[0,0.5)",2017-12-16 18:40:00,2
"37",0.25,40.71327,-111.8148,1111.22222,"[0,0.5)","[0,0.5)",2018-01-16 05:19:59,1
"38",0.25,40.71327,-111.8148,1141.66667,"[0,0.5)","[0,0.5)",2018-02-15 16:00:00,1
"39",0.25,40.71327,-111.8148,1172.11111,"[0,0.5)","[0,0.5)",2018-03-18 02:39:59,0
"40",0.25,40.71327,-111.8148,1202.55556,"[0,0.5)","[0,0.5)",2018-04-17 13:20:00,0
"41",0.25,40.71327,-111.8148,1233,"[0,0.5)","[0,0.5)",2018-05-18 00:00:00,0
"42",0.25,40.71327,-111.8148,1263.44444,"[0,0.5)","[0,0.5)",2018-06-17 10:39:59,0
"43",0.25,40.71327,-111.8148,1293.88889,"[0,0.5)","[0,0.5)",2018-07-17 21:20:00,1
"44",0.25,40.71327,-111.8148,1324.33333,"[0,0.5)","[0,0.5)",2018-08-17 07:59:59,0
"45",0.25,40.71327,-111.8148,1354.77778,"[0,0.5)","[0,0.5)",2018-09-16 18:40:00,1
"46",0.25,40.71327,-111.8148,1385.22222,"[0,0.5)","[0,0.5)",2018-10-17 05:19:59,0
"47",0.25,40.71327,-111.8148,1415.66667,"[0,0.5)","[0,0.5)",2018-11-16 16:00:00,0
"48",0.25,40.71327,-111.8148,1446.11111,"[0,0.5)","[0,0.5)",2018-12-17 02:39:59,1
"49",0.25,40.71327,-111.8148,1476.55556,"[0,0.5)","[0,0.5)",2019-01-16 13:20:00,1
"50",0.25,40.71327,-111.8148,1507,"[0,0.5)","[0,0.5)",2019-02-16 00:00:00,0
"51",0.25,40.71327,-111.8148,1537.44444,"[0,0.5)","[0,0.5)",2019-03-18 10:39:59,0
"52",0.25,40.71327,-111.8148,1567.88889,"[0,0.5)","[0,0.5)",2019-04-17 21:20:00,0
"53",0.25,40.71327,-111.8148,1598.33333,"[0,0.5)","[0,0.5)",2019-05-18 07:59:59,1
"54",0.25,40.71327,-111.8148,1628.77778,"[0,0.5)","[0,0.5)",2019-06-17 18:40:00,0
"55",0.25,40.71327,-111.8148,1659.22222,"[0,0.5)","[0,0.5)",2019-07-18 05:19:59,0
"56",0.25,40.71327,-111.8148,1689.66667,"[0,0.5)","[0,0.5)",2019-08-17 16:00:00,0
"57",0.25,40.71327,-111.8148,1720.11111,"[0,0.5)","[0,0.5)",2019-09-17 02:39:59,0
"58",0.25,40.71327,-111.8148,1750.55556,"[0,0.5)","[0,0.5)",2019-10-17 13:20:00,1
"59",0.25,40.71327,-111.8148,1781,"[0,0.5)","[0,0.5)",2019-11-17 00:00:00,1
"60",0.25,40.71327,-111.8148,1811.44444,"[0,0.5)","[0,0.5)",2019-12-17 10:39:59,0
"61",0.25,40.71327,-111.8148,1841.88889,"[0,0.5)","[0,0.5)",2020-01-16 21:20:00,1
"62",0.25,40.71327,-111.8148,1872.33333,"[0,0.5)","[0,0.5)",2020-02-16 07:59:59,0
"63",0.25,40.71327,-111.8148,1902.77778,"[0,0.5)","[0,0.5)",2020-03-17 18:40:00,0
"64",0.25,40.71327,-111.8148,1933.22222,"[0,0.5)","[0,0.5)",2020-04-17 05:19:59,0
"65",0.25,40.71327,-111.8148,1963.66667,"[0,0.5)","[0,0.5)",2020-05-17 16:00:00,0
"66",0.25,40.71327,-111.8148,1994.11111,"[0,0.5)","[0,0.5)",2020-06-17 02:39:59,0
"67",0.25,40.71327,-111.8148,2024.55556,"[0,0.5)","[0,0.5)",2020-07-17 13:20:00,0
"68",0.25,40.71327,-111.8148,2055,"[0,0.5)","[0,0.5)",2020-08-17 00:00:00,0
